Model,Precision,Recall
Logistic Regression,0.1599,1.0
Logistic Regression,0.161,1.0
Logistic Regression,0.1592,0.9787
Logistic Regression,0.1608,0.9787
Logistic Regression,0.1625,0.9787
Logistic Regression,0.1643,0.9787
Logistic Regression,0.1661,0.9787
Logistic Regression,0.1679,0.9787
Logistic Regression,0.1697,0.9787
Logistic Regression,0.1716,0.9787
Logistic Regression,0.1736,0.9787
Logistic Regression,0.1756,0.9787
Logistic Regression,0.1776,0.9787
Logistic Regression,0.1797,0.9787
Logistic Regression,0.1818,0.9787
Logistic Regression,0.18,0.9574
Logistic Regression,0.1822,0.9574
Logistic Regression,0.1844,0.9574
Logistic Regression,0.1867,0.9574
Logistic Regression,0.1849,0.9362
Logistic Regression,0.183,0.9149
Logistic Regression,0.1853,0.9149
Logistic Regression,0.1878,0.9149
Logistic Regression,0.1858,0.8936
Logistic Regression,0.1839,0.8723
Logistic Regression,0.1864,0.8723
Logistic Regression,0.1889,0.8723
Logistic Regression,0.1916,0.8723
Logistic Regression,0.1896,0.8511
Logistic Regression,0.1875,0.8298
Logistic Regression,0.1902,0.8298
Logistic Regression,0.1931,0.8298
Logistic Regression,0.196,0.8298
Logistic Regression,0.199,0.8298
Logistic Regression,0.1959,0.8085
Logistic Regression,0.199,0.8085
Logistic Regression,0.1968,0.7872
Logistic Regression,0.2,0.7872
Logistic Regression,0.2033,0.7872
Logistic Regression,0.1955,0.7447
Logistic Regression,0.1932,0.7234
Logistic Regression,0.1965,0.7234
Logistic Regression,0.2,0.7234
Logistic Regression,0.2036,0.7234
Logistic Regression,0.2073,0.7234
Logistic Regression,0.2112,0.7234
Logistic Regression,0.2089,0.7021
Logistic Regression,0.2065,0.6809
Logistic Regression,0.2105,0.6809
Logistic Regression,0.2148,0.6809
Logistic Regression,0.2192,0.6809
Logistic Regression,0.2168,0.6596
Logistic Regression,0.2214,0.6596
Logistic Regression,0.2263,0.6596
Logistic Regression,0.2313,0.6596
Logistic Regression,0.2366,0.6596
Logistic Regression,0.2422,0.6596
Logistic Regression,0.248,0.6596
Logistic Regression,0.2541,0.6596
Logistic Regression,0.2605,0.6596
Logistic Regression,0.2672,0.6596
Logistic Regression,0.2743,0.6596
Logistic Regression,0.2818,0.6596
Logistic Regression,0.2804,0.6383
Logistic Regression,0.2885,0.6383
Logistic Regression,0.2871,0.617
Logistic Regression,0.2857,0.5957
Logistic Regression,0.2917,0.5957
Logistic Regression,0.3011,0.5957
Logistic Regression,0.3111,0.5957
Logistic Regression,0.3218,0.5957
Logistic Regression,0.3214,0.5745
Logistic Regression,0.3333,0.5745
Logistic Regression,0.3333,0.5532
Logistic Regression,0.3467,0.5532
Logistic Regression,0.3611,0.5532
Logistic Regression,0.3768,0.5532
Logistic Regression,0.3939,0.5532
Logistic Regression,0.3968,0.5319
Logistic Regression,0.4,0.5106
Logistic Regression,0.4211,0.5106
Logistic Regression,0.4259,0.4894
Logistic Regression,0.4314,0.4681
Logistic Regression,0.4583,0.4681
Logistic Regression,0.4889,0.4681
Logistic Regression,0.5,0.4468
Logistic Regression,0.5128,0.4255
Logistic Regression,0.5556,0.4255
Logistic Regression,0.5758,0.4043
Logistic Regression,0.6,0.383
Logistic Regression,0.6296,0.3617
Logistic Regression,0.7083,0.3617
Logistic Regression,0.7619,0.3404
Logistic Regression,0.7778,0.2979
Logistic Regression,0.8,0.2553
Logistic Regression,0.8333,0.2128
Logistic Regression,0.7778,0.1489
Logistic Regression,0.6667,0.0851
Logistic Regression,1.0,0.0638
Logistic Regression,1.0,0.0
Random Forest,0.1599,1.0
Random Forest,0.161,1.0
Random Forest,0.1592,0.9787
Random Forest,0.1608,0.9787
Random Forest,0.1625,0.9787
Random Forest,0.1607,0.9574
Random Forest,0.1625,0.9574
Random Forest,0.1642,0.9574
Random Forest,0.1624,0.9362
Random Forest,0.1642,0.9362
Random Forest,0.166,0.9362
Random Forest,0.1679,0.9362
Random Forest,0.1699,0.9362
Random Forest,0.1719,0.9362
Random Forest,0.1739,0.9362
Random Forest,0.176,0.9362
Random Forest,0.1781,0.9362
Random Forest,0.1803,0.9362
Random Forest,0.1784,0.9149
Random Forest,0.1807,0.9149
Random Forest,0.183,0.9149
Random Forest,0.1853,0.9149
Random Forest,0.1878,0.9149
Random Forest,0.1903,0.9149
Random Forest,0.1928,0.9149
Random Forest,0.1955,0.9149
Random Forest,0.1982,0.9149
Random Forest,0.2009,0.9149
Random Forest,0.2038,0.9149
Random Forest,0.2067,0.9149
Random Forest,0.2049,0.8936
Random Forest,0.2079,0.8936
Random Forest,0.206,0.8723
Random Forest,0.2092,0.8723
Random Forest,0.2113,0.8723
Random Forest,0.2094,0.8511
Random Forest,0.2128,0.8511
Random Forest,0.2108,0.8298
Random Forest,0.2143,0.8298
Random Forest,0.2179,0.8298
Random Forest,0.2159,0.8085
Random Forest,0.2197,0.8085
Random Forest,0.2235,0.8085
Random Forest,0.2275,0.8085
Random Forest,0.2317,0.8085
Random Forest,0.236,0.8085
Random Forest,0.2405,0.8085
Random Forest,0.2452,0.8085
Random Forest,0.25,0.8085
Random Forest,0.255,0.8085
Random Forest,0.2534,0.7872
Random Forest,0.2587,0.7872
Random Forest,0.2571,0.766
Random Forest,0.2628,0.766
Random Forest,0.2687,0.766
Random Forest,0.2748,0.766
Random Forest,0.2734,0.7447
Random Forest,0.28,0.7447
Random Forest,0.2869,0.7447
Random Forest,0.2857,0.7234
Random Forest,0.2931,0.7234
Random Forest,0.3009,0.7234
Random Forest,0.3091,0.7234
Random Forest,0.2991,0.6809
Random Forest,0.3077,0.6809
Random Forest,0.3168,0.6809
Random Forest,0.3163,0.6596
Random Forest,0.3125,0.6383
Random Forest,0.3226,0.6383
Random Forest,0.3333,0.6383
Random Forest,0.3333,0.617
Random Forest,0.3333,0.5957
Random Forest,0.3333,0.5745
Random Forest,0.3333,0.5532
Random Forest,0.3467,0.5532
Random Forest,0.3472,0.5319
Random Forest,0.3478,0.5106
Random Forest,0.3636,0.5106
Random Forest,0.3651,0.4894
Random Forest,0.3833,0.4894
Random Forest,0.386,0.4681
Random Forest,0.3889,0.4468
Random Forest,0.3922,0.4255
Random Forest,0.3958,0.4043
Random Forest,0.4,0.383
Random Forest,0.3571,0.3191
Random Forest,0.359,0.2979
Random Forest,0.3889,0.2979
Random Forest,0.4242,0.2979
Random Forest,0.4,0.2553
Random Forest,0.4074,0.234
Random Forest,0.375,0.1915
Random Forest,0.3333,0.1489
Random Forest,0.3333,0.1277
Random Forest,0.3333,0.1064
Random Forest,0.4167,0.1064
Random Forest,0.4444,0.0851
Random Forest,0.6667,0.0851
Random Forest,0.6667,0.0426
Random Forest,1.0,0.0
Neural Network,0.1599,1.0
Neural Network,0.161,1.0
Neural Network,0.1626,1.0
Neural Network,0.1608,0.9787
Neural Network,0.1625,0.9787
Neural Network,0.1643,0.9787
Neural Network,0.1661,0.9787
Neural Network,0.1679,0.9787
Neural Network,0.1697,0.9787
Neural Network,0.1679,0.9574
Neural Network,0.1698,0.9574
Neural Network,0.1718,0.9574
Neural Network,0.1699,0.9362
Neural Network,0.1719,0.9362
Neural Network,0.1739,0.9362
Neural Network,0.172,0.9149
Neural Network,0.1741,0.9149
Neural Network,0.1721,0.8936
Neural Network,0.1743,0.8936
Neural Network,0.1765,0.8936
Neural Network,0.1787,0.8936
Neural Network,0.1767,0.8723
Neural Network,0.179,0.8723
Neural Network,0.1814,0.8723
Neural Network,0.1839,0.8723
Neural Network,0.1864,0.8723
Neural Network,0.1843,0.8511
Neural Network,0.1822,0.8298
Neural Network,0.1848,0.8298
Neural Network,0.1875,0.8298
Neural Network,0.1854,0.8085
Neural Network,0.1881,0.8085
Neural Network,0.191,0.8085
Neural Network,0.1939,0.8085
Neural Network,0.1959,0.8085
Neural Network,0.199,0.8085
Neural Network,0.2021,0.8085
Neural Network,0.2,0.7872
Neural Network,0.2033,0.7872
