Model,FPR,TPR,AUC,Model_AUC_Label
Logistic Regression,0.0,0.0,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0,0.0,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0,0.0213,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0,0.0638,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0,0.0638,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.004,0.0638,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.004,0.0851,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0081,0.0851,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0081,0.0851,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0081,0.2128,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0121,0.2128,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0121,0.2128,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0121,0.2979,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0162,0.2979,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0162,0.3404,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0162,0.3404,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0243,0.3404,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0243,0.3617,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0243,0.3617,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0486,0.3617,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0486,0.4043,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0567,0.4043,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0567,0.4043,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0567,0.4255,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.081,0.4255,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.081,0.4255,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.081,0.4468,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0931,0.4468,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0931,0.4681,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.0931,0.4681,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1215,0.4681,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1215,0.4894,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1215,0.4894,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1255,0.4894,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1255,0.5106,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1498,0.5106,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1498,0.5106,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1498,0.5319,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1619,0.5319,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1619,0.5319,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.1619,0.5532,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2105,0.5532,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2105,0.5745,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2105,0.5745,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2389,0.5745,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2389,0.5957,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2389,0.5957,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2874,0.5957,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2874,0.617,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2996,0.617,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2996,0.617,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.2996,0.6383,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.3117,0.6383,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.3117,0.6596,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.3117,0.6596,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.4534,0.6596,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.4534,0.6809,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.4534,0.6809,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.502,0.6809,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.502,0.7021,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.5101,0.7021,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.5101,0.7021,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.5101,0.7234,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.5789,0.7234,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.5789,0.7234,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.5789,0.7447,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.583,0.7447,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.583,0.766,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.583,0.766,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.587,0.766,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.587,0.7872,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.587,0.7872,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.6113,0.7872,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.6113,0.8085,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.6316,0.8085,0.721,Logistic Regression (AUC=0.721)
Logistic Regression,0.6316,0.8085,0.721,Logistic Regression (AUC=0.721)
