Model,Feature,Importance,Direction
Logistic Regression,Age,0.2956,Decreases Risk
Logistic Regression,DailyRate,0.2185,Decreases Risk
Logistic Regression,DistanceFromHome,0.298,Increases Risk
Logistic Regression,Education,0.1167,Decreases Risk
Logistic Regression,EnvironmentSatisfaction,0.5946,Decreases Risk
Logistic Regression,HourlyRate,0.0065,Increases Risk
Logistic Regression,JobInvolvement,0.5413,Decreases Risk
Logistic Regression,JobLevel,0.5082,Decreases Risk
Logistic Regression,JobSatisfaction,0.5074,Decreases Risk
Logistic Regression,MonthlyIncome,0.419,Increases Risk
Logistic Regression,MonthlyRate,0.0258,Decreases Risk
Logistic Regression,NumCompaniesWorked,0.3844,Increases Risk
Logistic Regression,PercentSalaryHike,0.017,Increases Risk
Logistic Regression,PerformanceRating,0.1658,Decreases Risk
Logistic Regression,RelationshipSatisfaction,0.3071,Decreases Risk
Logistic Regression,StockOptionLevel,0.6339,Decreases Risk
Logistic Regression,TotalWorkingYears,0.6027,Decreases Risk
Logistic Regression,TrainingTimesLastYear,0.2654,Decreases Risk
Logistic Regression,WorkLifeBalance,0.3956,Decreases Risk
Logistic Regression,YearsAtCompany,0.1882,Increases Risk
Logistic Regression,YearsInCurrentRole,0.2398,Decreases Risk
Logistic Regression,YearsSinceLastPromotion,0.4469,Increases Risk
Logistic Regression,YearsWithCurrManager,0.3993,Decreases Risk
Logistic Regression,BusinessTravel_Travel_Frequently,0.204,Increases Risk
Logistic Regression,BusinessTravel_Travel_Rarely,0.109,Decreases Risk
Logistic Regression,Department_Research & Development,1.6649,Decreases Risk
Logistic Regression,Department_Sales,0.842,Decreases Risk
Logistic Regression,EducationField_Life Sciences,1.4857,Decreases Risk
Logistic Regression,EducationField_Marketing,0.8736,Decreases Risk
Logistic Regression,EducationField_Medical,1.4672,Decreases Risk
Logistic Regression,EducationField_Other,0.818,Decreases Risk
Logistic Regression,EducationField_Technical Degree,0.7035,Decreases Risk
Logistic Regression,Gender_Male,0.0089,Increases Risk
Logistic Regression,JobRole_Human Resources,0.788,Decreases Risk
Logistic Regression,JobRole_Laboratory Technician,0.1028,Increases Risk
Logistic Regression,JobRole_Manager,0.3356,Decreases Risk
Logistic Regression,JobRole_Manufacturing Director,0.286,Decreases Risk
Logistic Regression,JobRole_Research Director,0.4281,Decreases Risk
Logistic Regression,JobRole_Research Scientist,0.424,Decreases Risk
Logistic Regression,JobRole_Sales Executive,0.4398,Decreases Risk
Logistic Regression,JobRole_Sales Representative,0.1455,Decreases Risk
Logistic Regression,MaritalStatus_Married,0.5002,Decreases Risk
Logistic Regression,MaritalStatus_Single,0.3218,Decreases Risk
Logistic Regression,OverTime_Yes,0.6594,Increases Risk
Random Forest,Age,0.0222,Decreases Risk
Random Forest,DailyRate,0.0084,Decreases Risk
Random Forest,DistanceFromHome,0.0122,Decreases Risk
Random Forest,Education,0.015,Decreases Risk
Random Forest,EnvironmentSatisfaction,0.0349,Decreases Risk
Random Forest,HourlyRate,0.0049,Decreases Risk
Random Forest,JobInvolvement,0.0338,Decreases Risk
Random Forest,JobLevel,0.0357,Decreases Risk
Random Forest,JobSatisfaction,0.0395,Decreases Risk
Random Forest,MonthlyIncome,0.024,Decreases Risk
Random Forest,MonthlyRate,0.0059,Decreases Risk
Random Forest,NumCompaniesWorked,0.0068,Decreases Risk
Random Forest,PercentSalaryHike,0.0027,Decreases Risk
Random Forest,PerformanceRating,0.0016,Decreases Risk
Random Forest,RelationshipSatisfaction,0.0121,Decreases Risk
Random Forest,StockOptionLevel,0.0735,Decreases Risk
Random Forest,TotalWorkingYears,0.0114,Decreases Risk
